name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
The Establishment of an Absorbent Hygiene Product Waste Collection System in Two Informal Settlements in South Africa,https://doi.org/10.3929/ethz-b-000668151,Has DOI,Student Paper,Student Paper,2024-03,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi,https://doi.org/10.3929/ethz-b-000624203,Has DOI,Journal Article,Scientific Article,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"wasteskipsblantyre: Locations of Public Waste Skips in Blantyre, Malawi",NA,No DOI,Dataset,Dataset,2023-09-08,2023,No license,No license,No license
Does Poor Mental Health Impair the Effectiveness of Complementary Food Hygiene Behavior Change Intervention in Rural Malawi?,https://doi.org/10.3929/ethz-b-000570888,Has DOI,Journal Article,Scientific Article,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
“Everything continued as normal”: What happened to Africa’s wave of Covid-19 waste?,NA,No DOI,Journal Article,Scientific Article,2021-02-01,2021,No license,No license,No license
"Suitability of the Modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana",https://doi.org/10.3929/ethz-b-000626839,Has DOI,Master Thesis,Student Paper,2022,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
"Improving Market Wash Stations Through Creative and Contextual Design in Durban, South Africa",https://doi.org/10.3929/ethz-b-000603034,Has DOI,Bachelor Thesis,Student Paper,2022-12-18,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
biogasoutcomesmalawi: Data for 61 semi-structured interviews with biogas owners in Malawi,NA,No DOI,Dataset,Dataset,2023-08-28,2023,No license,No license,No license
"Waste Logistics and Transport Modelling in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670970,Has DOI,Master Thesis,Student Paper,2024-05,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Data Logger for Remote Monitoring of Biogas,NA,No DOI,Other Research Data,Other publication,2024-07-05,2024,No license,No license,No license
